Flight No.,"Version,Booster[b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,CCAFS,,,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0,Failure[9][10](parachute),4 June 2010,18:45
1,,CCAFS,,,LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.0,Failure[9][14](parachute),4 June 2010,18:45
1,,CCAFS,,525,LEO,NASA,,,,,,,,,,Dragon,Success,F9 v1.0,No attempt,4 June 2010,18:45
2,,CCAFS,,"4,700",LEO,NASA,,,,,,,,,,SpaceX CRS-1,"Success
",F9 v1.0,No attempt,8 December 2010,15:43
3,,CCAFS,,"4,877",LEO,NASA,,,,,,,,,,SpaceX CRS-2,"Success
",F9 v1.0,No attempt,22 May 2012,07:44
4,,VAFB,,500,Polar orbit,MDA,,,,,,,,,,CASSIOPE,Success,F9 v1.0,Uncontrolled(ocean)[d],8 October 2012,00:35
5,,CCAFS,,"3,170",GTO,SES,,,,,,,,,,SES-8,Success,F9 v1.0,No attempt[38],1 March 2013,15:10
6,,CCAFS,,"3,325",GTO,Thaicom,,,,,,,,,,Thaicom 6,Success,F9 v1.1,No attempt[43],29 September 2013,16:00
7,,Cape Canaveral,,"2,296",LEO,NASA,,,,,,,,,,SpaceX CRS-3,"Success
",F9 v1.1,Controlled(ocean)[d][46],3 December 2013,22:41
8,,Cape Canaveral,,"1,316",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,Controlled(ocean)[d][46],6 January 2014,22:06
9,,Cape Canaveral,,"4,535",GTO,AsiaSat,,,,,,,,,,AsiaSat 8,Success,F9 v1.1,No attempt[57],18 April 2014,19:25
10,,Cape Canaveral,,"4,428",GTO,AsiaSat,,,,,,,,,,AsiaSat 6,Success,F9 v1.1,No attempt,14 July 2014,15:15
11,,Cape Canaveral,,"2,216",LEO,NASA,,,,,,,,,,SpaceX CRS-4,Success,F9 v1.1,Uncontrolled(ocean)[d][64],5 August 2014,08:00
12,,Cape Canaveral,,"2,395",LEO,NASA,,,,,,,,,,SpaceX CRS-5,Success,F9 v1.1,Failure(drone ship),7 September 2014,05:00
13,,Cape Canaveral,,570,HEO,USAF,,,,,,,,,,DSCOVR,"Success
",F9 v1.1,Controlled(ocean)[d],21 September 2014,05:52
14,,Cape Canaveral,,"4,159",GTO,ABS,,,,,,,,,,ABS-3A,"Success
",F9 v1.1,No attempt[77],10 January 2015,09:47
15,,Cape Canaveral,,"1,898",LEO,NASA,,,,,,,,,,SpaceX CRS-6,"Success
",F9 v1.1,Failure[83](drone ship),11 February 2015,23:03
16,,Cape Canaveral,,"4,707",GTO,,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",F9 v1.1,No attempt[89],2 March 2015,03:50
17,,Cape Canaveral,,"1,952",LEO,NASA,,,,,,,,,,SpaceX CRS-7,Failure,F9 v1.1,Precluded[94](drone ship),14 April 2015,20:10
18,,Cape Canaveral,,"2,034",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,"Success
",F9 v1.1,Success[99](ground pad),27 April 2015,23:03
19,,VAFB,,553,LEO,NASA,,,,,,,,,,Jason-3,"Success
",F9 v1.1,Failure(drone ship),28 June 2015,14:21
20,,Cape Canaveral,,"5,271",GTO,SES,,,,,,,,,,SES-9,"Success
",F9 FT,Failure(drone ship),22 December 2015,01:29
21,,Cape Canaveral,,"3,136",LEO,NASA,,,,,,,,,,SpaceX CRS-8,Success,F9 v1.1,Success[118](drone ship),17 January 2016,18:42
22,,Cape Canaveral,,"4,696",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-14,"Success
",F9 FT,Success(drone ship),4 March 2016,23:35
23,,Cape Canaveral,,"3,100",GTO,Thaicom,,,,,,,,,,Thaicom 8,"Success
",F9 FT,Success[133](drone ship),8 April 2016,20:43
24,,Cape Canaveral,,"3,600",GTO,ABS,,,,,,,,,,ABS-2A,"Success
",F9 FT,Failure[64](drone ship),6 May 2016,05:21
25,,Cape Canaveral,,"2,257",LEO,NASA,,,,,,,,,,SpaceX CRS-9,"Success
",F9 FT,Success(ground pad),27 May 2016,21:39
26,,Cape Canaveral,,"4,600",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-16,"Success
",F9 FT,Success(drone ship),15 June 2016,14:29
27,,VAFB,,"9,600",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",F9 FT,Success[154](drone ship),18 July 2016,04:45
28,,KSC,,"2,490",LEO,NASA,,,,,,,,,,SpaceX CRS-10,"Success
",F9 FT,Success(ground pad),14 August 2016,05:26
29,,KSC,,"5,600",GTO,EchoStar,,,,,,,,,,EchoStar 23,"Success
",F9 FT,No attempt[165],14 January 2017,17:54
30,,KSC,,"5,300",GTO,SES,,,,,,,,,,SES-10,Success,F9 FT,Success(drone ship),19 February 2017,14:39
31,,KSC,,Classified,LEO,NRO,,,,,,,,,,NROL-76,"Success
",F9 FT,Success(ground pad),16 March 2017,06:00
32,,KSC,,"6,070",GTO,Inmarsat,,,,,,,,,,Inmarsat-5 F4,"Success
",F9 FT,No attempt[165],30 March 2017,22:27
33,,KSC,,"2,708",LEO,NASA,,,,,,,,,,SpaceX CRS-11,"Success
",F9 FT,Success(ground pad),1 May 2017,11:15
34,,KSC,,"3,669",GTO,Bulsatcom,,,,,,,,,,BulgariaSat-1,"Success
",F9 FT,Success(drone ship),15 May 2017,23:21
35,,VAFB,,"9,600",LEO,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",F9 FT,Success(drone ship),3 June 2017,21:07
36,,KSC,,"6,761",GTO,Intelsat,,,,,,,,,,Intelsat 35e,"Success
",F9 FT,No attempt[165],23 June 2017,19:10
37,,KSC,,"3,310",LEO,NASA,,,,,,,,,,SpaceX CRS-12,"Success
",F9 FT,Success(ground pad),25 June 2017,20:25
38,,VAFB,,475,SSO,NSPO,,,,,,,,,,Formosat-5,"Success
",F9 FT,Success(drone ship),5 July 2017,23:38
39,,KSC,,"4,990",LEO,USAF,,,,,,,,,,Boeing X-37B,"Success
",F9 B4,Success(ground pad),14 August 2017,16:31
40,,VAFB,,"9,600",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",F9 FT,Success(drone ship),24 August 2017,18:51
41,,KSC,,"5,200",GTO,SES S.A.,,,,,,,,,,SES-11,"Success
",F9 B4,Success(drone ship),7 September 2017,14:00
42,,KSC,,"3,500",GTO,KT Corporation,,,,,,,,,,Koreasat 5A,"Success
",F9 B4,Success(drone ship),9 October 2017,12:37
43,,Cape Canaveral,,"2,205",LEO,NASA,,,,,,,,,,SpaceX CRS-13,"Success
",F9 FT,Success(ground pad),11 October 2017,22:53:00
44,,VAFB,,"9,600",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 B4,Controlled(ocean)[d][230],30 October 2017,19:34
45,,CCAFS,,Classified,LEO,Northrop Grumman,,,,,,,,,,Zuma,Success,F9 FT,Success(ground pad),15 December 2017,15:36
46,,CCAFS,,"4,230",GTO,SES,,,,,,,,,,GovSat-1,Success,F9 FT,Controlled(ocean)[d][248],23 December 2017,01:27
47,,VAFB,,"2,150",SSO,Hisdesat,,,,,,,,,,Paz,Success,F9 B4,No attempt[271],8 January 2018,01:00
48,,CCAFS,,"6,092",GTO,Hispasat,,,,,,,,,,Hispasat 30W-6,Success,F9 FT,No attempt[281],31 January 2018,21:25
49,,VAFB,,"9,600",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 FT,No attempt[287],22 February 2018,14:17
50,,CCAFS,,"2,647",LEO,NASA,,,,,,,,,,SpaceX CRS-14,Success,F9 B4,No attempt[294],6 March 2018,05:33
51,,CCAFS,,362,HEO,NASA,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,F9 B4,Success[306](drone ship),30 March 2018,14:14
52,,KSC,,"3,600",GTO,Thales-Alenia,,,,,,,,,,Bangabandhu-1,Success,F9 B4,Success[315](drone ship),2 April 2018,20:30
53,,VAFB,,"6,460",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 B4,No attempt[165],18 April 2018,22:51
54,,CCAFS,,"5,384",GTO,SES,,,,,,,,,,SES-12,Success,F9 B5,No attempt[165],11 May 2018,20:14
55,,CCAFS,,"2,697",LEO,NASA,,,,,,,,,,SpaceX CRS-15,Success,F9 B4,No attempt[165],22 May 2018,19:47
56,,CCAFS,,"7,075",GTO,Telesat,,,,,,,,,,Telstar 19V,Success,F9 B4,Success[344](drone ship),4 June 2018,04:45
57,,VAFB,,"9,600",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 B4,Success[352](drone ship),29 June 2018,09:42
58,,CCAFS,,"5,800",GTO,Telkom Indonesia,,,,,,,,,,Merah Putih,Success,F9 B5,Success[358](drone ship),22 July 2018,05:50
